省份,城市,院校名,主管部门,院校编码,院校水平,院校来历,建校时间,院校类型,软科校排,城市评级,招生电话,院校地址,办学层次,办学性质,校硕点,校博点,第四轮学科评估统计,第四轮学科评估结果,一流学科数量,一流学科,25年推免率,24年推免率,23年推免率,22年推免率,21年推免率,20年推免率,国内升学比例,国外升学比例,23年升本率,招生章程,学校招生信息,校园VR,院校百科,就业质量
北京,北京,北京大学,教育部,4111010001,/985/211/双一流大学/保研资格/基础学科拔尖/卓越医生拔尖创新/卓越法律复合应用/卓越法律涉外/高水平公共卫生学院,原卫生部,1898年,综合,普本总2,一线,010-62751407,北京市海淀区颐和园路5号,本科,公办,有,有,A+:21/A:11/A-:3/B+:8/B:3/B-:2/C+:1/,A+:21_哲学/应用经济学/政治学/社会学/心理学/中国语言文学/外国语言文学/考古学/世界史/数学/物理学/化学/地理学/大气科学/生物学/统计学/力学/计算机科学与技术/基础医学/口腔医学/艺术学理论;A:11_理论经济学/法学/马克思主义理论/中国史/生态学/电子科学与技术/环境科学与工程/软件工程/药学/工商管理/公共管理;A-:3_教育学/临床医学/公共卫生与预防医学;B+:8_新闻传播学/地质学/信息与通信工程/测绘科学与技术/核科学与技术/生物医学工程/护理学/图书情报与档案管理;B:3_地球物理学/科学技术史/中西医结合;B-:2_天文学/管理科学与工程;C+:1_戏剧与影视学;,0,(自主确定建设学科并自行公布),65.07%,62.70%,58.60%,54.80%,55.10%,49.40%,44.31%,30.85%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml,https://www.gotopku.cn/,https://www.720yun.com/t/e5e27mikatr,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%A4%A7%E5%AD%A6,https://scc.pku.edu.cn/home!downloadCenter.action
北京,北京,中国人民大学,教育部,4111010002,/985/211/双一流大学/保研资格/基础学科拔尖/卓越法律复合应用/卓越法律涉外/卓越农林拔尖创新/卓越农林复合应用,,1937年,综合,普本总17,一线,400-0123-517,北京市海淀区中关村大街59号,本科,公办,有,有,A+:9/A:2/A-:3/B+:3/B:4/B-:3/C+:3/C:2/C-:1/,A+:9_理论经济学/应用经济学/法学/社会学/马克思主义理论/新闻传播学/统计学/工商管理/公共管理;A:2_哲学/政治学;A-:3_中国语言文学/中国史/图书情报与档案管理;B+:3_外国语言文学/计算机科学与技术/农林经济管理;B:4_世界史/数学/物理学/软件工程;B-:3_考古学/艺术学理论/美术学;C+:3_化学/环境科学与工程/管理科学与工程;C:2_生态学/音乐与舞蹈学;C-:1_设计学;,14,哲学/理论经济学/应用经济学/法学/政治学/社会学/马克思主义理论/新闻传播学/中国史/统计学/工商管理/农林经济管理/公共管理/图书情报与档案管理,39.02%,34.00%,35.90%,34.24%,30.20%,,33.43%,31.92%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,https://rdzs.ruc.edu.cn,https://www.720yun.com/t/b162f9fOw4s,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E5%A4%A7%E5%AD%A6,
北京,北京,清华大学,教育部,4111010003,/985/211/双一流大学/保研资格/基础学科拔尖/卓越工程师/卓越医生拔尖创新/卓越法律复合应用/卓越法律涉外/高水平公共卫生学院,原轻工业部,1911年,综合,普本总1,一线,010-62782051,北京市海淀区清华园1号,本科,公办,有,有,A+:21/A:8/A-:8/B+:10/B-:2/C+:2/C-:2/,A+:21_马克思主义理论/化学/生物学/力学/机械工程/仪器科学与技术/材料科学与工程/动力工程及工程热物理/电气工程/控制科学与工程/计算机科学与技术/建筑学/水利工程/核科学与技术/环境科学与工程/城乡规划学/风景园林学/管理科学与工程/工商管理/公共管理/设计学;A:8_法学/数学/物理学/电子科学与技术/信息与通信工程/土木工程/化学工程与技术/软件工程;A-:8_应用经济学/政治学/社会学/外国语言文学/新闻传播学/生物医学工程/艺术学理论/美术学;B+:10_哲学/理论经济学/教育学/体育学/中国语言文学/中国史/生态学/统计学/光学工程/安全科学与工程;B-:2_世界史/航空宇航科学与技术;C+:2_大气科学/科学技术史;C-:2_心理学/交通运输工程;,0,(自主确定建设学科并自行公布),61.20%,76.00%,70.00%,58.00%,58.30%,58.38%,33.80%,9.60%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-3.dhtml,http://www.join-tsinghua.edu.cn,https://www.720yun.com/t/a7727upvq4i,https://baike.baidu.com/item/%E6%B8%85%E5%8D%8E%E5%A4%A7%E5%AD%A6,https://mp.weixin.qq.com/s/uzL1XAxZfkdKs0G5xVyYPQ
北京,北京,北京交通大学,教育部,4111010004,/211/双一流大学/保研资格/基础学科拔尖/卓越工程师,原铁道部,1896年,理工,普本总42,一线,010-51688441,北京西直门外上园村3号,本科,公办,有,有,A+:1/A-:4/B+:7/B:3/B-:5/C+:1/C:6/C-:1/,A+:1_系统科学;A-:4_信息与通信工程/计算机科学与技术/交通运输工程/工商管理;B+:7_应用经济学/马克思主义理论/统计学/机械工程/土木工程/软件工程/管理科学与工程;B:3_力学/光学工程/电气工程;B-:5_外国语言文学/数学/电子科学与技术/控制科学与工程/安全科学与工程;C+:1_物理学;C:6_法学/材料科学与工程/动力工程及工程热物理/建筑学/环境科学与工程/城乡规划学;C-:1_设计学;,1,系统科学,,27.00%,25.40%,22.42%,21.40%,20.20%,39.26%,15.54%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-4.dhtml,https://zsw.bjtu.edu.cn/,https://www.720yun.com/t/53825mivclw,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6,http://job.njtu.edu.cn/frontpage/bjtu/html/newsDetail.html?id=05db69ba3e40403ea1951546f84bd6bf
北京,北京,北京工业大学,北京市,4111010005,/211/双一流大学/保研资格/卓越工程师,,1960年,理工,普本总72,一线,01067391609,北京市朝阳区平乐园100号,本科,公办,有,有,A:1/A-:1/B+:7/B:4/B-:5/C+:2/C:3/C-:2/,A:1_土木工程;A-:1_环境科学与工程;B+:7_统计学/机械工程/光学工程/材料科学与工程/控制科学与工程/计算机科学与技术/软件工程;B:4_数学/电子科学与技术/化学工程与技术/生物医学工程;B-:5_物理学/力学/动力工程及工程热物理/建筑学/交通运输工程;C+:2_仪器科学与技术/信息与通信工程;C:3_教育学/城乡规划学/设计学;C-:2_生物学/水利工程;,1,土木工程,17.52%,18.60%,12.73%,10.52%,,,18.61%,19.74%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5.dhtml,https://admissions.bjut.edu.cn/,https://www.720yun.com/t/39vksbpesfb,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6,https://www.bjut.edu.cn/info/1119/2628.htm
北京,北京,北京航空航天大学,工业和信息化部,4111010006,/985/211/双一流大学/保研资格/基础学科拔尖/卓越工程师/卓越法律复合应用,原航空航天,1952年,理工,普本总11,一线,010-83429695,北京海淀区学院路37号,本科,公办,有,有,A+:4/A:3/A-:7/B+:4/B:1/B-:2/C+:2/,A+:4_仪器科学与技术/材料科学与工程/航空宇航科学与技术/软件工程;A:3_控制科学与工程/计算机科学与技术/管理科学与工程;A-:7_外国语言文学/力学/机械工程/信息与通信工程/交通运输工程/生物医学工程/公共管理;B+:4_法学/光学工程/动力工程及工程热物理/电子科学与技术;B:1_工商管理;B-:2_马克思主义理论/环境科学与工程;C+:2_电气工程/土木工程;,8,力学/仪器科学与技术/材料科学与工程/控制科学与工程/计算机科学与技术/交通运输工程/航空宇航科学与技术/软件工程,47.14%,52.00%,39.56%,31.12%,26.90%,27.60%,53.10%,20.52%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6.dhtml,http://zs.buaa.edu.cn,https://www.720yun.com/t/a3vkz9qh5pw,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E8%88%AA%E7%A9%BA%E8%88%AA%E5%A4%A9%E5%A4%A7%E5%AD%A6,https://career.buaa.edu.cn/News/newsXiang.html?cateid=83cda37f-3008-1089-692e-a410f98b9143&id=aa4a56b9-0601-c494-d45a-20dedb9d2e0d
北京,北京,北京理工大学,工业和信息化部,4111010007,/985/211/双一流大学/保研资格/基础学科拔尖/卓越工程师,,1940年,理工,普本总13,一线,010-68913345、010-68949927,北京市海淀区中关村南大街5号,本科,公办,有,有,A+:1/A:2/A-:6/B+:6/B:6/C+:4/C:1/,A+:1_兵器科学与技术;A:2_机械工程/控制科学与工程;A-:6_光学工程/材料科学与工程/信息与通信工程/计算机科学与技术/化学工程与技术/管理科学与工程;B+:6_力学/动力工程及工程热物理/电子科学与技术/软件工程/安全科学与工程/工商管理;B:6_应用经济学/教育学/仪器科学与技术/航空宇航科学与技术/生物医学工程/设计学;C+:4_理论经济学/法学/马克思主义理论/外国语言文学;C:1_公共管理;,4,物理学/材料科学与工程/控制科学与工程/兵器科学与技术,,44.00%,33.39%,28.41%,25.10%,21.00%,43.15%,21.86%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml,https://admission.bit.edu.cn/,https://www.720yun.com/t/b3520mp5x4r,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6,https://mp.weixin.qq.com/s/iVcUlwg31eg5xIMZWoVQ5Q
北京,北京,北京科技大学,教育部,4111010008,/211/双一流大学/保研资格/卓越工程师,原冶金部,1952年,理工,普本总35,一线,010-62325294,北京市海淀区学院路30号,本科,公办,有,有,A+:2/A:1/B+:6/B:7/B-:3/C+:3/C:1/C-:2/,A+:2_科学技术史/冶金工程;A:1_材料科学与工程;B+:6_机械工程/控制科学与工程/计算机科学与技术/矿业工程/环境科学与工程/安全科学与工程;B:7_马克思主义理论/外国语言文学/化学/动力工程及工程热物理/土木工程/管理科学与工程/工商管理;B-:3_数学/物理学/力学;C+:3_仪器科学与技术/信息与通信工程/公共管理;C:1_应用经济学;C-:2_统计学/化学工程与技术;,4,科学技术史/材料科学与工程/冶金工程/矿业工程,,28.00%,27.00%,,20.00%,20.00%,40.88%,14.95%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-8.dhtml,https://zhaosheng.ustb.edu.cn/,https://www.720yun.com/t/23b2fwakytn,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6,https://job.ustb.edu.cn/frontpage/ustb/html/newsDetail.html?id=bb339956ae9e482783bf2bb3f6fdce9d
北京,北京,北方工业大学,北京市,4111010009,/保研资格/卓越工程师,原冶金部,1946年,理工,普本总215,一线,010-88802786,北京市石景山区晋元庄路5号(邮政编码：100144),本科,公办,有,有,B-:1/C+:3/C:4/C-:4/,B-:1_计算机科学与技术;C+:3_数学/控制科学与工程/工商管理;C:4_马克思主义理论/机械工程/土木工程/软件工程;C-:4_法学/统计学/电子科学与技术/设计学;,,,,,,,3.00%,,21.00%,7.96%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml,http://bkzs.ncut.edu.cn,https://www.720yun.com/t/57bj5duusm2,https://baike.baidu.com/item/%E5%8C%97%E6%96%B9%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6,http://sem.ncut.edu.cn/info/1176/6511.htm
北京,北京,北京化工大学,教育部,4111010010,/211/双一流大学/保研资格/基础学科拔尖/卓越工程师,,1958年,理工,普本总63,一线,010-64435706,北京市朝阳区北三环东路15号,本科,公办,有,有,A:1/A-:1/B+:2/B:1/B-:2/C+:4/C:3/C-:3/,A:1_化学工程与技术;A-:1_材料科学与工程;B+:2_化学/控制科学与工程;B:1_环境科学与工程;B-:2_机械工程/动力工程及工程热物理;C+:4_计算机科学与技术/安全科学与工程/管理科学与工程/工商管理;C:3_物理学/轻工技术与工程/软件工程;C-:3_马克思主义理论/数学/药学;,1,化学工程与技术,20.15%,,18.00%,16.94%,16.90%,16.90%,38.28%,9.50%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-10.dhtml,https://goto.buct.edu.cn,https://www.720yun.com/t/0652ejr5cc6,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%8C%96%E5%B7%A5%E5%A4%A7%E5%AD%A6,https://job.buct.edu.cn/2022/0117/c7720a164298/page.htm
